"SERIALNO","RT","DIVISION","PUMA","REGION","ST","ADJHSG","ADJINC","WGTP","NP","TYPE","ACCESS","ACR","AGS","BATH","BDSP","BLD","BROADBND","BUS","COMPOTHX","CONP","DIALUP","DSL","ELEP","FIBEROP","FS","FULP","GASP","HANDHELD","HFL","INSP","LAPTOP","MHP","MODEM","MRGI","MRGP","MRGT","MRGX","OTHSVCEX","REFR","RMSP","RNTM","RNTP","RWAT","RWATPR","SATELLITE","SINK","SMP","STOV","TEL","TEN","TOIL","VACS","VALP","VEH","WATP","YBL","FES","FFINCP","FGRNTP","FHINCP","FINCP","FPARC","FPLMPRP","FSMOCP","GRNTP","GRPIP","HHL","HHT","HINCP","HOTWAT","HUGCL","HUPAC","HUPAOC","HUPARC","KIT","LNGI","MULTG","MV","NOC","NPF","NPP","BTUNG"
83379,"H",2,3303,1,42,1000000,1001264,77,2,1,3,1,0,1,3,2,0,2,2,0,0,0,140,0,1,1100,3,2,4,720,2,0,0,0,0,0,3,0,1,6,0,0,1,9,0,1,0,1,1,2,1,0,2e+05,1,840,5,6,1,0,1,37700,4,0,1,0,0,1,2,37700,9,0,4,4,4,1,1,1,7,0,2,0,56169.423
83420,"H",2,3205,1,42,1000000,1001264,107,3,1,1,1,0,1,2,3,1,2,2,0,2,2,120,2,1,2,160,1,1,280,1,0,1,0,0,0,3,2,1,5,0,0,1,9,2,1,0,1,1,2,1,0,60000,2,730,3,3,0,0,0,19000,2,0,0,0,0,1,1,19000,9,1,2,4,2,1,1,1,7,0,3,1,9458.066
83445,"H",2,900,1,42,1000000,1001264,23,1,1,1,1,0,1,2,2,1,2,2,0,2,2,40,2,2,230,3,1,4,0,1,0,1,1,1000,1,1,2,1,6,0,0,1,9,2,1,0,1,1,1,1,0,130000,1,1,3,0,0,0,1,0,0,0,1,0,0,1,4,20400,9,0,4,4,4,1,1,1,4,0,0,0,44629.425
83480,"H",2,2301,1,42,1000000,1001264,51,2,1,1,2,1,1,3,2,2,2,2,0,2,2,100,2,2,2,200,1,2,600,1,0,1,1,1900,1,1,2,1,9,0,0,1,9,2,1,0,1,1,1,1,0,245000,3,2,11,1,1,0,1,115000,4,0,0,0,0,1,1,115000,9,0,4,4,4,1,1,1,4,0,2,0,0
83553,"H",2,803,1,42,1000000,1001264,25,2,1,1,3,1,1,3,2,2,2,2,0,2,1,100,2,2,500,4,1,5,800,1,0,2,0,0,0,3,2,1,6,0,0,1,9,2,1,0,1,1,2,1,0,2e+05,4,2,7,5,0,0,0,61000,4,0,0,0,0,1,2,61000,9,0,4,4,4,1,1,1,6,0,2,0,28906.759
83602,"H",2,1805,1,42,1000000,1001264,93,1,1,1,0,0,1,1,6,1,0,2,0,2,2,70,2,2,2,3,1,3,0,1,0,1,0,0,0,0,2,1,3,2,650,1,9,2,1,0,1,1,3,1,0,0,1,1,4,0,0,0,0,0,0,0,0,720,58,1,4,15000,9,0,4,4,4,1,1,1,1,0,0,0,21288.547
83622,"H",2,3004,1,42,1000000,1001264,85,2,1,3,0,0,1,1,7,0,0,2,0,0,0,100,0,2,2,10,2,1,0,2,0,0,0,0,0,0,0,1,3,2,1400,1,9,0,1,0,1,1,3,1,0,0,1,670,11,2,0,1,0,39850,4,0,0,1566,47,1,1,39850,9,0,4,4,4,1,1,1,2,0,2,0,0
83742,"H",2,3900,1,42,1000000,1001264,25,3,1,1,1,0,1,3,2,2,2,2,0,2,2,200,2,1,2,70,1,1,0,1,0,1,0,0,0,0,2,1,6,2,600,1,9,2,1,0,1,1,3,1,0,0,1,50,1,7,0,1,0,19400,2,0,0,874,54,3,3,19400,9,0,2,2,2,1,1,1,5,2,3,0,0
83767,"H",2,2100,1,42,1000000,1001264,92,2,1,3,1,0,1,2,2,0,2,2,0,0,0,170,0,2,200,160,2,1,600,2,0,0,0,0,0,3,0,1,7,0,0,1,9,0,1,0,1,1,2,1,0,40000,2,1500,1,3,1,0,1,66200,4,0,0,0,0,1,1,66200,9,0,4,4,4,1,1,1,3,0,2,0,57165.637
83802,"H",2,1804,1,42,1000000,1001264,119,2,1,1,0,0,1,2,9,1,0,1,0,2,2,50,2,2,2,1,2,1,0,2,0,1,0,0,0,0,2,1,4,2,1000,1,9,2,1,0,1,1,3,1,0,0,1,2,5,4,0,1,0,39100,4,0,0,1050,32,1,1,39100,9,0,4,4,4,1,1,1,3,0,2,0,0
83817,"H",2,1600,1,42,1000000,1001264,112,2,1,1,2,1,1,3,2,2,2,2,0,2,2,60,2,2,2,80,2,1,800,1,0,1,0,0,0,3,2,1,5,0,0,1,9,2,1,0,1,1,2,1,0,3e+05,2,2,3,4,1,0,1,60700,4,0,0,0,0,1,1,60700,9,0,4,4,4,1,1,1,7,0,2,0,17067.295
83878,"H",2,1100,1,42,1000000,1001264,88,2,1,3,0,0,1,2,4,0,0,2,0,0,0,60,0,1,1,1,2,1,0,2,0,0,0,0,0,0,0,1,7,2,290,1,9,0,1,0,1,1,3,1,0,0,1,950,2,0,0,0,1,0,0,0,0,429,15,1,7,34400,9,0,4,4,4,1,1,1,6,0,0,0,102509.802
83976,"H",2,1806,1,42,1000000,1001264,81,1,1,3,2,1,1,3,2,0,2,2,0,0,0,40,0,2,2,40,2,1,300,1,0,0,1,800,1,1,0,1,8,0,0,1,9,0,1,0,1,2,1,1,0,70000,0,30,4,0,0,0,0,0,0,0,0,0,0,1,4,42000,9,0,4,4,4,1,1,1,5,0,0,0,38272.039
84100,"H",2,3402,1,42,1000000,1001264,91,2,1,1,2,1,1,3,2,2,2,1,0,2,2,180,1,2,2,40,1,1,170,1,0,2,2,200,2,1,2,1,8,0,0,1,9,2,1,0,1,1,1,1,0,4e+05,2,2,3,4,0,0,0,164780,4,0,0,0,0,1,1,164780,9,0,4,4,4,1,1,1,7,0,2,0,139124.114
84120,"H",2,2701,1,42,1000000,1001264,14,1,1,1,1,0,1,3,2,2,2,2,0,1,2,180,2,2,330,130,2,2,1200,1,0,2,2,500,2,1,2,1,5,0,0,1,9,2,1,500,1,1,1,1,0,85000,2,540,1,0,0,0,0,0,0,0,0,0,0,1,4,32900,9,0,4,4,4,1,1,1,7,0,0,0,0
84121,"H",2,200,1,42,1000000,1001264,23,2,1,3,3,1,1,4,2,0,2,2,0,0,0,120,0,2,860,3,2,6,0,2,0,0,0,0,0,0,0,1,11,2,300,1,9,0,1,0,1,1,3,1,0,0,2,2,1,2,0,0,0,22800,4,0,0,492,26,1,1,22800,9,0,4,4,4,1,1,1,1,0,2,0,79852.924
84182,"H",2,2301,1,42,1000000,1001264,44,2,1,1,2,1,1,1,2,1,2,2,0,2,2,120,2,2,220,3,1,5,0,1,0,1,0,0,0,0,2,1,3,2,650,1,9,2,1,0,1,1,3,1,0,0,3,2,3,0,0,1,0,0,0,0,0,788,14,1,5,67000,9,0,4,4,4,1,1,1,2,0,0,0,0
84185,"H",2,2002,1,42,1000000,1001264,18,2,1,1,2,1,1,3,2,1,2,2,0,2,2,120,2,2,2,50,1,1,1200,1,0,1,2,600,2,1,2,1,6,0,0,1,9,2,1,0,1,1,1,1,0,180000,1,810,1,7,0,0,0,185000,2,0,0,0,0,1,3,185000,9,0,2,2,2,1,1,1,5,1,2,0,66393.369
84190,"H",2,900,1,42,1000000,1001264,35,1,1,1,0,0,1,1,5,1,0,2,0,2,1,150,2,1,2,3,1,4,0,1,0,2,0,0,0,0,2,1,3,2,500,1,9,2,1,0,1,1,3,1,0,0,1,1,3,0,0,0,0,0,0,0,0,650,43,1,6,18200,9,0,4,4,4,1,1,1,1,0,0,0,22410.742
84200,"H",2,3002,1,42,1000000,1001264,134,4,1,1,1,0,1,4,2,2,2,2,0,2,2,150,1,2,750,3,1,4,700,1,0,2,0,0,0,3,2,1,9,0,0,1,9,2,1,0,1,1,2,1,0,350000,4,800,5,2,0,0,0,88040,4,0,0,0,0,5,1,88040,9,0,4,4,4,1,1,1,7,0,4,0,0
84228,"H",2,1400,1,42,1000000,1001264,30,1,1,1,1,0,1,2,1,1,2,2,0,2,2,40,2,2,2,150,1,2,960,2,200,1,2,430,2,1,2,1,5,0,0,1,9,2,1,0,1,1,1,1,0,60000,2,1,7,0,0,0,0,0,0,0,0,0,0,1,4,36200,9,0,4,4,4,1,1,1,5,0,0,0,0
84307,"H",2,1900,1,42,1000000,1001264,23,3,1,1,2,1,1,2,2,2,2,2,0,2,1,110,2,2,1100,50,1,5,200,2,0,2,1,530,1,1,2,1,7,0,0,1,9,2,1,0,1,1,1,1,0,20000,2,2,1,1,1,0,1,36000,2,0,0,0,0,1,1,36000,9,0,2,2,2,1,1,1,4,1,3,0,0
84315,"H",2,1807,1,42,1000000,1001264,56,3,1,3,2,1,1,3,2,0,2,2,0,0,0,180,0,1,2,3,2,3,0,1,0,0,0,0,0,0,0,1,5,2,1100,1,9,0,1,0,1,1,3,1,0,0,1,1,5,8,0,0,0,10500,2,0,0,1280,101,1,3,10500,9,0,2,2,2,1,1,1,4,1,3,0,0
84348,"H",2,3603,1,42,1000000,1001264,92,1,1,3,2,1,1,1,2,0,2,2,0,0,0,200,0,2,2,170,2,2,600,2,0,0,0,0,0,3,0,1,2,0,0,1,9,0,1,0,1,1,2,1,0,265000,1,2,6,0,0,0,0,0,0,0,0,0,0,1,4,7000,9,0,4,4,4,1,1,1,5,0,0,0,47359.931
84373,"H",2,1100,1,42,1000000,1001264,46,3,1,1,2,1,1,1,2,2,1,2,0,2,1,140,2,2,1200,3,1,5,250,1,0,2,2,550,2,1,2,1,6,0,0,1,9,2,1,0,1,1,1,1,0,50000,2,2,6,2,0,0,0,74800,2,0,0,0,0,1,1,74800,9,0,2,2,2,1,1,1,5,1,3,0,119554.273
84376,"H",2,600,1,42,1000000,1001264,58,3,1,1,1,0,1,3,2,2,2,2,0,2,1,120,2,2,2,150,1,2,420,1,0,2,2,960,2,1,2,1,8,0,0,1,9,2,1,0,1,1,1,1,0,2e+05,3,770,4,2,0,0,0,117400,2,0,0,0,0,1,1,117400,9,0,2,2,2,1,1,1,5,1,3,0,36379.463
