"SERIALNO","RT","DIVISION","PUMA","REGION","ST","ADJHSG","ADJINC","WGTP","NP","TYPE","ACCESS","ACR","AGS","BATH","BDSP","BLD","BROADBND","BUS","COMPOTHX","CONP","DIALUP","DSL","ELEP","FIBEROP","FS","FULP","GASP","HANDHELD","HFL","INSP","LAPTOP","MHP","MODEM","MRGI","MRGP","MRGT","MRGX","OTHSVCEX","REFR","RMSP","RNTM","RNTP","RWAT","RWATPR","SATELLITE","SINK","SMP","STOV","TEL","TEN","TOIL","VACS","VALP","VEH","WATP","YBL","FES","FFINCP","FGRNTP","FHINCP","FINCP","FPARC","FPLMPRP","FSMOCP","GRNTP","GRPIP","HHL","HHT","HINCP","HOTWAT","HUGCL","HUPAC","HUPAOC","HUPARC","KIT","LNGI","MULTG","MV","NOC","NPF","NPP","BTUEL"
189088,"H",2,2301,1,42,1000000,1001264,43,2,1,1,0,0,1,2,4,2,0,2,0,2,2,120,2,2,2,3,1,3,0,1,0,1,0,0,0,0,2,1,4,2,530,1,9,2,1,0,1,1,3,1,0,0,1,900,7,7,0,0,0,7000,1,0,0,725,101,1,3,7000,9,0,1,1,1,1,1,1,1,1,2,0,44930.605
189114,"H",2,2600,1,42,1000000,1001264,155,1,1,1,0,0,1,2,5,2,0,2,0,2,2,190,2,2,2,3,1,3,0,1,0,1,0,0,0,0,2,1,5,2,480,1,9,2,1,0,1,1,3,1,0,0,1,1,4,0,0,0,0,0,0,0,0,670,12,1,6,65000,9,0,4,4,4,1,1,1,4,0,0,0,36275.081
189135,"H",2,2200,1,42,1000000,1001264,163,2,1,1,1,0,1,3,2,2,2,2,0,2,1,60,2,2,2,4,1,1,1100,1,0,2,0,0,0,3,2,1,9,0,0,1,9,2,1,0,1,1,2,1,0,151000,1,620,1,7,1,0,1,37000,4,0,1,0,0,1,3,37000,9,0,4,4,4,1,1,1,5,0,2,0,20986.786
189164,"H",2,200,1,42,1000000,1001264,82,2,1,1,2,1,1,3,2,1,2,2,0,2,2,170,2,2,2,100,1,3,1500,1,0,2,0,0,0,3,2,1,6,0,0,1,9,1,1,0,1,1,2,1,0,550000,2,2,12,1,0,0,0,2e+05,4,0,1,0,0,1,1,200000,9,0,4,4,4,1,1,1,4,0,2,0,46393.688
189172,"H",2,3502,1,42,1000000,1001264,131,2,1,2,3,6,1,4,2,0,2,2,0,0,0,140,0,2,380,3,1,6,2400,1,0,0,2,1500,2,1,0,1,8,0,0,1,9,0,1,0,1,1,1,1,0,2e+05,2,2,1,2,0,0,0,143000,4,0,0,0,0,1,1,143000,9,0,4,4,4,1,1,1,7,0,2,0,28374.781
189237,"H",2,2703,1,42,1000000,1001264,82,5,1,1,1,0,1,5,2,2,2,2,0,2,2,60,2,2,2,180,1,1,880,1,0,1,1,1700,1,1,2,1,9,0,0,1,9,2,1,420,1,1,1,1,0,280000,4,960,9,1,0,0,0,87000,4,0,0,0,0,1,1,107000,9,0,4,4,4,1,1,1,4,0,4,0,15824.856
189302,"H",2,3105,1,42,1000000,1001264,51,2,1,3,0,0,1,2,7,0,0,2,370,0,0,90,0,2,2,80,2,1,150,2,0,0,2,410,1,1,0,1,4,0,0,1,9,0,1,0,1,1,1,1,0,170000,1,400,4,4,0,0,0,25000,4,0,0,0,0,1,1,25000,9,0,4,4,4,1,1,1,5,0,2,0,28556.001
189372,"H",2,1300,1,42,1000000,1001264,44,3,1,1,2,1,1,2,2,2,2,2,0,2,1,110,2,2,2,70,1,1,500,1,0,2,0,0,0,3,2,1,8,0,0,1,9,2,1,0,1,1,2,1,0,85000,2,500,2,1,0,0,0,128800,4,0,0,0,0,1,1,128800,9,0,4,4,4,1,1,1,6,0,3,0,41689.923
189505,"H",2,3701,1,42,1000000,1001264,18,2,1,1,3,1,1,3,2,2,1,2,0,2,1,190,2,2,350,3,2,6,1800,1,0,2,2,500,2,1,2,1,6,0,0,1,9,2,1,0,1,1,1,1,0,285000,2,2,5,1,1,0,1,104000,4,0,1,0,0,1,1,104000,9,0,4,4,4,1,1,1,4,0,2,0,56889.867
189509,"H",2,2200,1,42,1000000,1001264,25,4,1,1,1,0,1,3,2,2,2,2,0,2,1,290,2,2,2,260,1,4,0,1,0,2,0,0,0,3,2,1,8,0,0,1,9,2,1,0,1,1,2,1,0,2e+05,4,310,7,4,1,0,1,163700,4,0,0,0,0,1,1,163700,9,0,4,4,4,1,1,1,6,0,4,0,108524.794
189600,"H",2,1804,1,42,1000000,1001264,45,2,1,3,1,0,1,2,2,0,2,2,0,0,0,120,0,2,2,300,2,1,0,2,0,0,0,0,0,3,0,1,7,0,0,1,9,0,1,0,1,1,2,1,0,8000,1,1100,1,4,1,0,1,32000,4,0,0,0,0,1,1,32000,9,0,4,4,4,1,1,1,7,0,2,0,46344.368
189623,"H",2,3103,1,42,1000000,1001264,42,2,1,1,0,0,1,2,5,1,0,1,0,2,2,70,2,2,2,1,1,1,0,2,0,1,0,0,0,0,2,1,6,2,980,1,9,2,1,0,1,1,3,1,0,0,2,1,1,1,0,0,0,31000,4,0,0,1050,41,1,1,31000,9,0,4,4,4,1,1,1,3,0,2,0,18615.872
189651,"H",2,400,1,42,1000000,1001264,35,1,1,1,1,0,1,3,2,2,2,2,0,2,2,170,2,2,2,250,2,1,580,1,0,1,2,1500,2,1,2,1,7,0,0,1,9,2,1,0,1,1,1,1,0,160000,2,900,1,0,0,0,0,0,0,0,0,0,0,1,4,81000,9,0,4,4,4,1,1,1,4,0,0,0,49540.722
189759,"H",2,2003,1,42,1000000,1001264,45,2,1,1,3,1,1,3,2,2,2,2,0,1,2,260,2,2,2,3,1,3,1100,1,0,2,0,0,0,3,2,1,8,0,0,1,9,2,1,0,1,1,2,1,0,480000,3,2,8,2,1,0,1,156900,4,0,0,0,0,1,1,156900,9,0,4,4,4,1,1,1,5,0,2,0,81055.809
189824,"H",2,3209,1,42,1000000,1001264,79,1,1,1,0,0,1,0,6,2,0,2,0,2,2,30,2,2,2,20,1,3,0,1,0,1,0,0,0,0,2,1,2,2,850,1,9,2,1,0,1,2,3,1,0,0,1,100,6,0,0,0,1,0,0,0,0,908,27,1,6,40000,9,0,4,4,4,1,1,1,1,0,0,0,9248
189842,"H",2,1900,1,42,1000000,1001264,75,3,1,1,3,1,1,3,2,2,2,2,0,2,1,110,2,2,2,3,1,1,0,1,0,2,0,0,0,3,2,1,5,0,0,1,9,2,1,0,1,1,2,1,0,3e+05,3,2,7,2,1,0,1,44000,4,0,1,0,0,1,1,44000,9,0,4,4,4,1,1,1,6,0,3,0,37156.35
189899,"H",2,101,1,42,1000000,1001264,336,3,1,1,0,0,1,3,7,1,0,2,0,2,2,70,2,2,2,40,1,1,0,1,0,1,0,0,0,0,2,1,6,2,760,1,9,2,1,0,1,1,3,1,0,0,2,2,11,7,0,1,0,40500,2,0,0,870,26,1,3,40500,9,0,2,2,2,1,1,1,1,1,3,0,17459.773
190127,"H",2,3402,1,42,1000000,1001264,87,3,1,1,1,0,1,4,2,2,2,2,0,1,2,120,1,2,1700,3,1,4,1300,1,0,1,0,0,0,3,2,1,9,0,0,1,9,2,1,0,1,1,2,1,0,3e+05,3,440,3,1,0,0,0,199420,4,0,0,0,0,1,1,199420,9,0,4,4,4,1,1,1,6,0,3,0,33990.542
190153,"H",2,2902,1,42,1000000,1001264,98,1,1,3,0,0,1,2,5,0,0,2,0,0,0,50,0,2,2,50,2,1,0,2,0,0,0,0,0,0,0,1,6,2,930,1,9,0,1,0,1,1,3,1,0,0,0,710,6,0,0,0,0,0,0,0,0,1089,88,1,6,14900,9,0,4,4,4,1,1,1,5,0,0,0,15966.568
190451,"H",2,1300,1,42,1000000,1001264,32,2,1,1,2,1,1,3,2,2,1,2,0,2,1,150,2,2,1100,3,1,5,780,1,0,2,0,0,0,3,2,1,8,0,0,1,9,2,1,0,1,1,2,1,0,170000,2,2,6,1,0,0,0,40700,4,0,0,0,0,1,1,40700,9,0,4,4,4,1,1,1,7,0,2,0,41872.064
190479,"H",2,2001,1,42,1000000,1001264,102,2,1,1,1,0,1,3,2,1,2,2,0,2,2,80,2,1,2,360,1,1,0,1,0,1,0,0,0,0,2,1,5,2,630,1,9,2,1,0,1,1,3,1,0,0,1,1400,5,7,0,0,0,24800,4,0,0,1187,57,1,3,24800,9,0,4,4,4,1,1,1,2,0,2,0,29721.379
190608,"H",2,802,1,42,1000000,1001264,107,1,1,1,1,0,1,3,3,1,2,2,0,2,2,50,2,2,2,40,1,1,800,1,0,1,2,450,2,1,2,1,8,0,0,1,9,2,1,0,1,1,1,1,0,125000,1,850,8,0,0,0,1,0,0,0,0,0,0,1,6,800,9,0,4,4,4,1,1,1,4,0,0,0,13645.799
190609,"H",2,1200,1,42,1000000,1001264,22,1,1,1,0,0,1,2,4,1,0,2,0,2,2,70,2,2,2,3,1,3,0,1,0,1,0,0,0,0,2,1,3,2,1000,1,9,2,1,0,1,1,3,1,0,0,1,1,15,0,0,0,0,0,0,0,0,1070,19,1,6,68000,9,0,4,4,4,1,1,1,2,0,0,0,17223.873
190621,"H",2,1802,1,42,1000000,1001264,154,1,1,1,1,0,1,3,2,1,2,2,0,2,2,40,2,2,2,100,1,1,450,1,0,2,0,0,0,3,2,1,7,0,0,1,9,1,1,0,1,1,2,1,0,90000,1,260,1,0,0,0,0,0,0,0,0,0,0,1,6,81000,9,0,4,4,4,1,1,1,5,0,0,0,9313.736
190824,"H",2,3602,1,42,1000000,1001264,74,2,1,1,2,1,1,4,2,1,2,2,0,2,1,170,2,2,2,200,1,2,1100,1,0,2,2,2300,2,1,2,1,9,0,0,1,9,2,1,0,1,1,1,1,0,3e+05,3,210,7,1,1,0,1,125900,4,0,0,0,0,1,1,125900,9,0,4,4,4,1,1,1,6,0,2,0,44481.595
190936,"H",2,3002,1,42,1000000,1001264,78,3,1,1,2,1,1,5,2,1,2,2,0,2,2,430,2,2,230,100,1,1,1500,1,0,1,2,1900,2,1,2,1,13,0,0,1,9,2,1,0,1,1,1,1,0,350000,2,400,3,2,0,0,0,76880,4,0,1,0,0,1,1,76880,9,0,4,4,4,1,1,1,6,0,3,0,69155.44
190940,"H",2,2200,1,42,1000000,1001264,64,2,1,3,1,0,1,3,2,0,2,2,0,0,0,140,0,2,1600,20,2,4,540,2,0,0,0,0,0,3,0,1,5,0,0,1,9,0,1,0,1,1,2,1,0,80000,1,420,1,2,1,0,1,27500,4,0,0,0,0,1,1,27500,9,0,4,4,4,1,1,1,7,0,2,0,36105.784
190941,"H",2,1900,1,42,1000000,1001264,95,1,1,3,0,0,1,2,5,0,0,2,0,0,0,40,0,2,2,70,2,1,0,2,0,0,0,0,0,0,0,1,6,2,460,1,9,0,1,0,1,1,3,1,0,0,1,30,1,0,0,0,0,0,0,0,0,573,17,1,4,40000,9,0,4,4,4,1,1,1,6,0,0,0,16022
190992,"H",2,1600,1,42,1000000,1001264,114,3,1,1,1,0,1,3,2,1,2,1,0,2,2,170,2,2,2,70,1,1,800,1,0,1,1,1500,1,1,2,1,6,0,0,1,9,2,1,200,1,1,1,1,0,220000,3,540,9,1,0,0,0,154000,1,0,0,0,0,1,1,154000,9,0,1,1,1,1,1,1,4,1,3,0,49909.532
191075,"H",2,1802,1,42,1000000,1001264,83,1,1,3,1,0,1,2,3,0,2,2,0,0,0,20,0,2,2,30,2,1,0,2,0,0,0,0,0,0,0,1,5,2,450,1,9,0,1,0,2,1,3,1,0,0,1,400,1,0,0,0,0,0,0,0,0,533,14,1,6,47000,9,0,4,4,4,2,1,1,4,0,0,0,12561.257
191104,"H",2,3404,1,42,1000000,1001264,54,2,1,1,2,1,1,2,2,1,2,2,0,2,2,120,2,2,2,30,1,9,900,1,0,1,0,0,0,3,2,1,4,0,0,1,9,2,1,0,1,1,2,1,0,350000,2,2,7,1,1,0,1,72400,4,0,0,0,0,3,1,72400,9,0,4,4,4,1,1,1,4,0,2,0,49342.939
191290,"H",2,1400,1,42,1000000,1001264,16,1,1,1,3,1,1,3,2,2,1,2,0,2,2,160,2,2,2,3,1,8,820,1,0,1,0,0,0,3,2,1,8,0,0,1,9,2,1,0,1,1,2,1,0,150000,1,2,1,0,0,0,0,0,0,0,1,0,0,1,6,0,9,0,4,4,4,1,1,1,7,0,0,0,31543.848
191346,"H",2,2200,1,42,1000000,1001264,11,2,1,1,2,1,1,4,2,2,2,2,0,2,2,80,2,2,800,3,2,6,830,1,0,1,2,210,2,1,2,1,11,0,0,1,9,2,1,0,1,1,1,1,0,2e+05,2,2,6,4,1,0,1,25000,4,0,1,0,0,1,1,25000,9,0,4,4,4,1,1,1,7,0,2,0,22757.825
191381,"H",2,4001,1,42,1000000,1001264,74,3,1,1,2,1,1,3,2,2,2,2,0,2,1,90,2,2,2,40,1,1,630,1,0,2,0,0,0,3,2,1,6,0,0,1,9,2,1,0,1,1,2,1,0,5e+05,3,480,1,2,0,0,0,62200,4,0,0,0,0,1,1,62200,9,0,4,4,4,1,1,1,7,0,3,0,28482.518
191396,"H",2,3502,1,42,1000000,1001264,148,5,1,1,1,0,1,4,2,1,2,2,0,2,2,60,2,2,2,3,1,3,420,1,0,1,1,1800,1,1,2,1,9,0,0,1,9,2,1,0,1,1,1,1,0,250000,3,640,8,2,1,0,1,40000,3,0,1,0,0,1,1,40000,9,0,3,3,3,1,1,1,5,3,5,0,23097
191397,"H",2,3602,1,42,1000000,1001264,114,1,1,1,0,0,1,1,7,2,0,2,0,2,2,60,2,2,2,3,1,3,0,1,0,1,0,0,0,0,2,1,3,2,650,1,9,2,1,0,1,1,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,710,20,1,6,42000,9,0,4,4,4,1,1,1,3,0,0,0,8106.787
191495,"H",2,900,1,42,1000000,1001264,112,2,1,1,1,0,1,3,2,1,2,2,0,2,2,70,2,2,2,3,1,4,800,1,0,1,0,0,0,3,2,1,7,0,0,1,9,2,1,0,1,1,2,1,0,140000,1,2,3,4,0,0,0,56400,4,0,0,0,0,1,1,56400,9,0,4,4,4,1,1,1,7,0,2,0,23760.847
191509,"H",2,2500,1,42,1000000,1001264,222,1,1,3,2,1,1,2,2,0,2,2,0,0,0,170,0,2,2,3,2,4,430,2,0,0,0,0,0,3,0,1,5,0,0,1,9,0,1,0,1,1,2,1,0,150000,1,1100,3,0,0,0,1,0,0,0,0,0,0,1,4,11300,9,0,4,4,4,1,1,1,7,0,0,0,70809.158
